0,1
Narender Reddy (Rep)State House Dist 50,GSL050RRED
Nettie B. Conner (Dem)State House Of Representatives - District 144,GSL144DCON
Nikema Williams (I) (Dem)Us House Dist 5,GCON05DWIL
Nikki Merritt (I) (Dem)State Senate - District 9,GSU09DMER
NoConstitutional Amendment #1,G22A01NO
NoConstitutional Amendment #2,G22A02NO
NoProposed Statewide Referendum 1,G22RFANO
NoProposed Statewide Referendum 2,G22RFBNO
"Noel Williams, Jr. (I) (Rep)State House Of Representatives - District 148",GSL148RWIL
Olivia Angel (Rep)State House Of Representatives - District 39,GSL039RANG
Om Duggal (Dem)State House Of Representatives - District 99,GSL099DDUG
Omari Crawford (Dem)State House Of Representatives - District 84,GSL084DCRA
Park Elizabeth Cannon (I) (Dem)State House Dist 58,GSL058DCAN
Pat Rhudy (Dem)State House Dist 18,GSL018DRHU
Patrick J. Reinert (Dem)State House Of Representatives - District 104,GSL104DREI
Patrick Thompson (Dem)State Senate - District 56,GSU56DTHO
Patty Bentley (I) (Dem)State House - District 150,GSL150DBEN
Paulette Williams (Dem)State Senate - District 50,GSU50DWIL
"Pedro """"Pete"""" Marin (I) (Dem)State House Of Representatives - District 96",GSL096DMAR
Peggy Gillen (Dem)State House Dist 49,GSL049DGIL
Penny Houston (I) (Rep)State House Of Representatives - District 170,GSL170RHOU
Peter Korman (Rep)State House Dist 51,GSL051RKOR
Phil Olaleye (Dem)State House Dist 59,GSL059DOLA
Pingke Dubignon (Dem)State Senate - District 16,GSU16DDUB
Preston A. Wren (Rep)State House Of Representatives - District 106,GSL106RWRE
R.J. Coyle (Dem)State House Dist 19,GSL019DCOY
Randy Robertson (I) (Rep)State Senate - District 29,GSU29RROB
Raphael Warnock (I) (Dem)Us Senate,G22USSDWAR
Regina Lewis-Ward (I) (Dem)State House Of Representatives - District 115,GSL115DLEW
"Reynaldo """"Rey"""" Martinez (Rep)State House Of Representatives - District 111",GSL111RMAR
Rhonda Burnough (I) (Dem)State House Dist 77,GSL077DBUR
Rhonda S. Taylor (I) (Dem)State House Of Representatives - District 92,GSL092DTAY
Rich McCormick (Rep)Us House Dist 6,GCON06RMCC
Richard H. Smith (I) (Rep)State House Dist 139,GSL139RSMI
Richard Woods (I) (Rep)State School Superintendent,G22SUPRWOO
Rick Jasperse (I) (Rep)State House Dist 11,GSL011RJAS
Rick Sheppard (Rep)State House Of Representatives - District 89,GSL089RSHE
Rick Townsend (Rep)State House Of Representatives - District 179,GSL179RTOW
Rick W. Allen (I) (Rep)Us House Of Representatives - District 12,GCON12RALL
"Ricky """"Rick"""" Williams (Rep)State Senate - District 25",GSU25RWIL
Rob Leverett (I) (Rep)State House Of Representatives - District 123,GSL123RLEV
